in_words(inadequate,  "j. not sufficient to meet a need)
in_words(incentive,  "n. a positive motivational influence)
in_words(incidence,  "n. the relative frequency of occurrence of something)
in_words(incident,  "n. a public disturbance)
in_words(incidentally,  "a. of a minor or subordinate nature)
in_words(inclined,  "j. at an angle to the horizontal or vertical position)
in_words(incompetence,  "n. lack of physical or intellectual ability or qualifications)
in_words(inconsistent,  "j. displaying a lack of consistency)
in_words(inconvenient,  "j. not suited to your comfor)
in_words(indefinitely,  "a. to an indefinite extent; for an indefinite time)
in_words(indicator,  "n. a device for showing the operating condition of some system)
in_words(indifferent,  "j. showing no care or concern in attitude or action)
in_words(indigenous,  "j. originating where it is found)
in_words(indulge,  "v. enjoy to excess)
in_words(inefficient,  "j. not producing desired results; wasteful)
in_words(inept,  "j. generally incompetent and ineffectual)
in_words(inevitable,  "j. incapable of being avoided or prevented)
in_words(inexpensive,  "j. relatively low in price or charging low prices)
in_words(infamous,  "j. known widely and usually unfavorably)
in_words(infinite,  "j. having no limits or boundaries in time or space or extent or magnitude)
in_words(influence,  "n. a power to affect persons or events especially power based on prestige etc)
in_words(influential,  "j. having or exercising influence or power)
in_words(influx,  "n. the process of flowing in)
in_words(ingenious,  "j. showing inventiveness and skill)
in_words(inherent,  "j. in the nature of something though not readily apparent)
in_words(injunction,  "n.  {law } a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity)
in_words(inland,  "a. towards or into the interior of a region)
in_words(insight,  "n. the clear  {and often sudden } understanding of a complex situation)
in_words(insistence,  "n. the state of demanding notice or attention)
in_words(inspector,  "n. a high ranking police officer)
in_words(instance,  "n. an occurrence of something)
in_words(instant,  "n. a very short time)
in_words(insufficient,  "j. of a quantity not able to fulfill a need or requirement)
in_words(integral,  "j. essential to completeness; lacking nothing)
in_words(integrity,  "n. moral soundness)
in_words(intellectual,  "j. appealing to or using the intellect)
in_words(intelligence,  "n. the ability to comprehend; to understand and profit from experience)
in_words(intensive,  "j. characterized by a high degree or intensity; often used as a combining form)
in_words(intention,  "n. an act of intending; a volition that you intend to carry out)
in_words(interact,  "v. act together or towards others or with others)
in_words(interim,  "n. the time between one even)
in_words(intermediate,  "j. lying between two extremes in time or space or state)
in_words(intervene,  "v. get involve)
in_words(intervention,  "n. the act of intervening  {as to mediate a disput)
in_words(intimacy,  "n. close or warm friendship)
in_words(intricate,  "j. having many complexly arranged elements; elaborate)
in_words(invasion,  "n. any entry into an area not previously occupied)
in_words(inventive,  "j.  {used of persons or artifacts } marked by independence and creativity in thought or action)
in_words(investigator,  "n. a police officer who investigates crimes)
in_words(investor,  "n. someone who commits capital in order to gain financial returns)
in_words(invincible,  "j. incapable of being overcome or subdued)
in_words(invoke,  "v. cite as an authority; resort to)
in_words(involuntary,  "j. not subject to the control of the will)
in_words(involve,  "v. engage as a participant)

